n=     660,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     670, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     670,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     680, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     680,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     690, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     690,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     700, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     700,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     710, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     710,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     720, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     720,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     730, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     730,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     740, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     740,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     750, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     750,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     760, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     760,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     770, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     770,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     780, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     780,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     790, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     790,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     800, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     800,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     810, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     810,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     820, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     820,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     830, schurDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
n=     830,     HDiff=0.0000000000e+00, eigValsRealDiff=0.0000000000e+00, eigValsImagDiff=0.0000000000e+00, zMatDiff=0.0000000000e+00, allZero=1
